No	Symbol	StockName	Sector	Industry
196	AVTE	エアロベイト・セ...	ヘルスケア	バイオテクノロジー
197	AVXL	アナベックス・ラ...	ヘルスケア	バイオテクノロジー
198	AWR	アメリカン・ステ...	公益事業	水道
199	AX	アクソス・フィナ...	金融	貯蓄・抵当・不動産金融
200	AXGN	アクソゲン	ヘルスケア	ヘルスケア機器
201	AXL	アメリカン・アク...	一般消費財	自動車部品・装置
202	AXNX	アクソニクス・モ...	ヘルスケア	ヘルスケア機器
203	AXSM	アクサム・セラピ...	ヘルスケア	バイオテクノロジー
204	AXTI	AXT	情報技術	Semiconductor Equipment & Mate
205	AZZ	エーゼットゼット	資本財	その他製造業
206	B	バーンズ･グループ	資本財	その他製造業
207	BALY	ツイン・リバー・...	一般消費財	カジノ・ゲーム
208	BANC	バンク・オブ・カ...	金融	アメリカ地域銀行
209	BAND	バンドウィズ　ク...	情報技術	システム・ソフトウェア
210	BANF	バンクファースト	金融	アメリカ地域銀行
211	BANR	バナー・コーポレ...	金融	アメリカ地域銀行
212	BARK	Bank of Akron	Consumer Cyclical	Specialty Retail
213	BASE	カウチベース	テクノロジー	Software-Infrastructure
214	BATL	Battalion Oil Corp	エネルギー	Oil & Gas E&P
215	BATRA	リバティメディア	電気通信	Entertainment
216	BATRK	リバティメディア	電気通信	Entertainment
217	BBCP	コンクリート・ポ...	資本財	Engineering & Construction
218	BBIG	エディソン・ネー...	景気連動型消費財	Leisure
219	BBIO	BridgebioPharmaInc	ヘルスケア	バイオテクノロジー
220	BBLN	Babylon Holdings Ltd	Healthcare	Health Information Services
221	BBSI	バレット・ビジネ...	資本財	人事・雇用サービス
222	BBUC	ブルックフィール...	金融サービス	Asset Management
223	BBW	ビルド・ア・ベア...	一般消費財	専門店
224	BCBP	ＢＣＢバンコープ	金融	アメリカ地域銀行
225	BCC	ボイジー・カスケ...	素材	林産品
226	BCML	BaycomCorp	金融	地方銀行
227	BCO	ブリンクス	資本財	セキュリティ・警報装置サービス
228	BCOV	ブライトコーブ	情報技術	アプリケーション・ソフトウェア
229	BCPC	バルケム	素材	特殊化学品
230	BCRX	バイオクリスト・...	ヘルスケア	バイオテクノロジー
231	BDC	ベルデン	情報技術	電子部品
232	BDN	ブランディワイン...	不動産	オフィス不動産投資信託
233	BE	ブルーム・エナジ...	公益事業	独立系発電事業者・エネルギー販売業者
234	BEAM	ビーム・セラピュ...	生活必需品	バイオテクノロジー
235	BECN	ビーコン・ルーフ...	素材	建設資材
236	BFC	BankFirstCorp	金融	地方銀行
237	BFH	ブレッド・フィナ...	金融サービス	Credit Services
238	BFLY	バタフライ・ネッ...	ヘルスケア	Medical Devices
239	BFS	ソウル・センターズ	不動産	REIT-Retail
240	BFST	BusinessFirstBanc...	金融	地方銀行
